"year","carrier_name","arrival","delay","cancelled","diverted","arrival_delay","carrier_delay","wthr_delay","ns_delay","sec_delay","lt_air_delay","on_time"
2011,"Delta Air Lines Inc.",132642,22296,1778,218,1164998,0.342333634907528,0.0470335571391539,0.299573904847905,0.000365665863804058,0.310693237241609,0.845208813896288
2011,"ExpressJet Airlines Inc.",78882,15839,2552,247,978906,0.325089436575115,0.0240870931427532,0.203070570616586,0.000880574845797247,0.446872324819748,0.808880229696473
2011,"SkyWest Airlines Inc.",136505,23348,2750,362,1275645,0.2299377961737,0.0239282872586025,0.248729074311427,0.00106534341450795,0.496339498841762,0.837633847758721
2012,"American Airlines Inc.",133923,26299,2782,543,1586788,0.340068742642369,0.0572439418498249,0.213564761014074,0.000745531224082864,0.388377023269649,0.818865524894984
2012,"American Eagle Airlines Inc.",95680,15078,2305,218,921262,0.305492899956798,0.132741825886664,0.231262116531454,0.000756570877774184,0.32974658674731,0.844625312276551
2012,"Delta Air Lines Inc.",171134,22402,839,353,1297220,0.362526788054455,0.0346255839410432,0.285661645673055,0.000514176469681319,0.316671805861766,0.878836120126535
2012,"ExpressJet Airlines Inc.",160581,31097,2577,352,2047127,0.340767329042116,0.0252602794062117,0.179623931490328,0.000583256436947976,0.453765203624397,0.825155313015462
2012,"SkyWest Airlines Inc.",120466,19915,2312,292,1138967,0.23467931906719,0.0190699115953316,0.246610305654159,0.000633029754154422,0.499007433929166,0.842507955379935
2013,"American Airlines Inc.",80282,15817,1085,245,889955,0.316883437926637,0.0527801967515211,0.210201639408734,0.00168098386997095,0.418453742043137,0.824005172997773
2013,"American Eagle Airlines Inc.",99322,23193,3343,272,1406634,0.269662897384821,0.090738600090713,0.236647201759662,0.000257351947983626,0.402693948816821,0.787457385237453
2013,"Delta Air Lines Inc.",142123,21564,369,327,1283576,0.388035457191471,0.04550879729755,0.279477802638878,0.0017349966032397,0.285242946268861,0.864584537330503
2013,"ExpressJet Airlines Inc.",148990,36031,4318,464,2323893,0.294615974143388,0.0291097739870123,0.231082498204521,0.000575327693658873,0.44461642597142,0.784971786536567
2013,"SkyWest Airlines Inc.",115780,19712,2482,303,1117770,0.288092362471707,0.0279449260581336,0.196105638906036,0.00173649319627473,0.486120579367848,0.837304830159752
2014,"American Airlines Inc.",123170,26888,2071,432,1660469,0.315182638158255,0.0546586536695355,0.189169445500036,0.000570320794907945,0.440418941877265,0.807349191470953
2014,"American Eagle Airlines Inc.",18976,4433,1629,61,260924,0.255752632950591,0.124553509834281,0.241905689012893,5.36554705584768e-05,0.377734512731677,0.756046057611857
2014,"Delta Air Lines Inc.",162113,24761,1787,271,1394208,0.398604799283895,0.0794436698111042,0.237963775849801,0.000355757534026487,0.283631997521173,0.858049456947473
2014,"ExpressJet Airlines Inc.",116981,27913,5394,351,1814735,0.321441973621493,0.0247672525189628,0.230506382474576,0.000158700857149942,0.423125690527818,0.776565165727335
2014,"SkyWest Airlines Inc.",119921,25590,4133,254,1513704,0.257081965826872,0.0222203284129526,0.249048691157584,0.000941399375307194,0.470707615227284,0.80001734512802
2015,"American Airlines Inc.",139227,26245,1799,560,1628386,0.348156395350979,0.0635678518483947,0.225190464668696,0.00176309548227509,0.361322192649654,0.829566647401255
